countyName,metro,pop-1998,pop-2001,pop-2004,pop-2007,pop-2010,pop-1998-Grade6,pop-1998-Grade9,pop-1998-Grade12,pop-2001-Grade6,pop-2001-Grade9,pop-2001-Grade12,pop-2004-Grade6,pop-2004-Grade9,pop-2004-Grade12,pop-2007-Grade6,pop-2007-Grade9,pop-2007-Grade12,pop-2010-Grade6,pop-2010-Grade9,pop-2010-Grade12,collOrByond-1998-Grade6,collOrByond-1998-Grade9,collOrByond-1998-Grade12,collOrByond-2001-Grade6,collOrByond-2001-Grade9,collOrByond-2001-Grade12,collOrByond-2004-Grade6,collOrByond-2004-Grade9,collOrByond-2004-Grade12,collOrByond-2007-Grade6,collOrByond-2007-Grade9,collOrByond-2007-Grade12,collOrByond-2010-Grade6,collOrByond-2010-Grade9,collOrByond-2010-Grade12
Scott County,MinneapolisStPaulBloomingtonMNWI,1931,2051,2672,2839,3753,772,643,516,756,786,509,988,1002,682,1060,1052,727,1430,1415,908,87.96296296,77.35849057,71.01167315,88.57526882,82.48081841,74.65346535,89.11704312,82.36472946,78.48664688,--,89.09266409,83.91608392,--,90.24216524,86
Sherburne County,MinneapolisStPaulBloomingtonMNWI,1706,2254,2566,2986,3273,754,509,443,957,852,445,1060,1049,457,1174,1104,708,1296,1202,775,85.42510121,75.59055118,68.34862385,88.90063425,78.29181495,71.98177677,88.82466281,85.32818533,78.53982301,--,88.42297174,83.42776204,--,92.31418919,87.48353096
Sibley County,MinneapolisStPaulBloomingtonMNWI,517,502,483,416,381,164,199,154,178,183,141,151,189,143,109,161,146,121,143,117,84.47204969,72.36180905,60.13071895,83.52272727,83.51648352,73.75886525,84.56375839,80.85106383,73.75886525,--,86.25,87.5862069,--,81.56028369,82.75862069
Stearns County,StCloudMN,5090,4441,3824,3958,2824,1733,1946,1411,1505,1656,1280,1364,1426,1034,1347,1458,1153,995,1057,772,83.71411834,76.33350596,69.4721826,88.19163293,79.63525836,73.86185243,89.16292975,83.89830508,74.0993184,--,87.23108952,81.37510879,--,88.04971319,82.65971317
Steele County,,1052,1219,1222,1232,1140,411,406,235,416,487,316,426,448,348,428,473,331,415,425,300,84.48275862,76.2962963,73.5042735,84.59657702,81.4968815,74.20382166,87.83454988,85.32731377,79.25072046,--,85.43897216,82.37082067,--,90.73634204,87.07482993
Stevens County,,17,240,241,218,197,17,0,0,45,104,91,64,87,90,76,80,62,82,65,50,--,--,--,88.88888889,83.65384615,73.62637363,88.88888889,77.01149425,84.44444444,--,89.47368421,75,--,96.875,90
Swift County,,351,314,148,312,289,126,114,111,120,114,80,52,55,41,83,115,114,103,87,99,82.4,76.99115044,74.31192661,90,81.57894737,83.75,72,85.45454545,76.92307692,--,80,84.95575221,--,82.75862069,77.55102041
Todd County,,815,902,813,772,697,272,345,198,301,329,272,249,308,256,224,309,239,214,214,269,82.46268657,75.29069767,61.92893401,86.30136986,77.37003058,73.33333333,84.89795918,81.37254902,73.33333333,--,84.69055375,80.5907173,--,87.73584906,87.16981132
Traverse County,,138,142,124,118,105,64,39,35,56,44,42,44,40,40,50,29,39,34,41,30,89.0625,87.17948718,62.85714286,83.01886792,90.90909091,85.36585366,88.37209302,80,92.5,--,82.75862069,92.30769231,--,85.36585366,83.33333333
Wabasha County,RochesterMN,842,847,863,902,893,289,309,244,284,355,208,221,373,269,296,327,279,301,310,282,81.33802817,73.52941176,64.3442623,87.1886121,78.28571429,69.71153846,90.04524887,84.65753425,74.43609023,--,80.55555556,77.61732852,--,90.13157895,84.5323741
Wadena County,,534,592,606,537,450,200,174,160,219,214,159,211,217,178,180,203,154,164,143,143,77.31958763,71.0982659,73.125,77.9342723,80.56872038,70.44025157,83.25123153,76.38888889,78.08988764,--,83.75634518,81.04575163,--,85.91549296,83.8028169
Waseca County,,869,775,570,597,441,304,288,277,245,292,238,106,247,217,204,205,188,125,175,141,84.66666667,71.77700348,70.90909091,89.53974895,78.5467128,75,82.69230769,82.23140496,81.39534884,--,84.15841584,82.25806452,--,88.88888889,86.33093525
Washington County,MinneapolisStPaulBloomingtonMNWI,5944,5607,6068,6703,6551,2192,2281,1471,2041,2239,1327,2284,2103,1681,2347,2466,1890,2359,2478,1714,91.03159851,82.79664755,80.39617486,91.42999502,85.88182228,82.39757208,92.95272079,86.76612127,84.52739314,--,92.26018938,87.32694356,--,93.06122449,93.00411523
Watonwan County,,475,390,421,378,363,169,160,146,130,150,110,138,154,129,134,143,101,123,135,105,77.57575758,77.98742138,72.60273973,85.71428571,78.66666667,67.88990826,90.15151515,80.26315789,75,--,81.56028369,78,--,82.96296296,75.23809524
Wilkin County,,297,290,296,262,215,92,108,97,116,101,73,86,128,82,69,90,103,84,70,61,83.69565217,78.7037037,83.33333333,88.59649123,93,72.60273973,76.47058824,88.88888889,82.5,--,87.5,91.26213592,--,88.57142857,88.52459016
Winona County,,1190,1192,539,1130,1014,435,419,336,406,498,288,198,188,153,388,399,343,354,372,288,87.58782201,76.97841727,65.86102719,88.44221106,75.6097561,76.14035088,87.11340206,86.17021277,79.08496732,--,85.60606061,77.19298246,--,86.95652174,80.98591549
Wright County,MinneapolisStPaulBloomingtonMNWI,3240,2175,2656,2518,2916,1269,1200,771,838,787,550,1028,1011,617,936,917,665,1064,1047,805,82.77511962,71.76669484,69.9609883,89.35912938,80.9706258,75.09157509,87.74703557,82.58258258,78.19672131,--,87.96909492,81.36363636,--,89.54501452,86.70012547
Yellow Medicine County,,296,438,394,363,314,106,103,87,133,154,151,124,136,134,107,132,124,83,115,116,89.62264151,76.47058824,67.44186047,90.07633588,80.51948052,69.53642384,92.62295082,75.55555556,76.11940299,--,82.30769231,80.64516129,--,88.59649123,88.79310345
